time_period_start;time_period_end;time_open;time_close;rate_open;rate_high;rate_low;rate_close
2021-04-18T00:00:00.0000000Z;2021-04-19T00:00:00.0000000Z;2021-04-18T00:01:00.0000000Z;2021-04-18T23:59:00.0000000Z;0.40673873433415836;0.4105370344036986;0.31815512088609094;0.3648959104889776
2021-04-19T00:00:00.0000000Z;2021-04-20T00:00:00.0000000Z;2021-04-19T00:01:00.0000000Z;2021-04-19T23:59:00.0000000Z;0.3664063390055866;0.3872658580472165;0.32591709993984436;0.3277547459793955
2021-04-20T00:00:00.0000000Z;2021-04-21T00:00:00.0000000Z;2021-04-20T00:01:00.0000000Z;2021-04-20T23:59:00.0000000Z;0.32779414682029234;0.3518698039247765;0.2983300736454214;0.3422381308385184
2021-04-21T00:00:00.0000000Z;2021-04-22T00:00:00.0000000Z;2021-04-21T00:01:00.0000000Z;2021-04-21T23:59:00.0000000Z;0.342526796195701;0.3825285400817231;0.3295444319498917;0.3593961323516853
2021-04-22T00:00:00.0000000Z;2021-04-23T00:00:00.0000000Z;2021-04-22T00:01:00.0000000Z;2021-04-22T23:59:00.0000000Z;0.3605672816957701;0.4219028185845108;0.3481921573365609;0.35286974826366974
2021-04-23T00:00:00.0000000Z;2021-04-24T00:00:00.0000000Z;2021-04-23T00:02:00.0000000Z;2021-04-23T23:59:00.0000000Z;0.3542272317470214;0.38705601308417903;0.3014731551379448;0.3820360184715136
2021-04-24T00:00:00.0000000Z;2021-04-25T00:00:00.0000000Z;2021-04-24T00:01:00.0000000Z;2021-04-24T23:59:00.0000000Z;0.3824;0.3897931548498631;0.3385442199627379;0.3542706710069252
2021-04-25T00:00:00.0000000Z;2021-04-26T00:00:00.0000000Z;2021-04-25T00:01:00.0000000Z;2021-04-25T23:59:00.0000000Z;0.35615631297139916;0.4040603707021693;0.3466421762720982;0.38424856700208876
2021-04-26T00:00:00.0000000Z;2021-04-27T00:00:00.0000000Z;2021-04-26T00:01:00.0000000Z;2021-04-26T23:59:00.0000000Z;0.3857036321793709;0.5730301414063463;0.37942619201666405;0.5345735007011955
2021-04-27T00:00:00.0000000Z;2021-04-28T00:00:00.0000000Z;2021-04-27T00:01:00.0000000Z;2021-04-27T23:59:00.0000000Z;0.536957112303961;0.847765570510673;0.536957112303961;0.8368833520194039
2021-04-28T00:00:00.0000000Z;2021-04-29T00:00:00.0000000Z;2021-04-28T00:01:00.0000000Z;2021-04-28T23:59:00.0000000Z;0.8420549959427492;0.8947543985899756;0.6755674285785653;0.7742982987452371
2021-04-29T00:00:00.0000000Z;2021-04-30T00:00:00.0000000Z;2021-04-29T00:01:00.0000000Z;2021-04-29T23:59:00.0000000Z;0.783471643709577;0.9239065961984134;0.7432246701382403;0.8914097130203947
2021-04-30T00:00:00.0000000Z;2021-05-01T00:00:00.0000000Z;2021-04-30T00:01:00.0000000Z;2021-04-30T23:59:00.0000000Z;0.892158324169681;0.9414022968297694;0.7838113110482157;0.8200669132094578
2021-05-01T00:00:00.0000000Z;2021-05-02T00:00:00.0000000Z;2021-05-01T00:01:00.0000000Z;2021-05-01T23:59:00.0000000Z;0.8249578775440025;0.8403564419651595;0.7722744356768502;0.7885502389178999
2021-05-02T00:00:00.0000000Z;2021-05-03T00:00:00.0000000Z;2021-05-02T00:01:00.0000000Z;2021-05-02T23:59:00.0000000Z;0.7858281918529635;0.8284702296436419;0.7428033998822395;0.825110662400931
2021-05-03T00:00:00.0000000Z;2021-05-04T00:00:00.0000000Z;2021-05-03T00:01:00.0000000Z;2021-05-03T23:59:00.0000000Z;0.8223875579856642;0.8676628903260094;0.7772954311328429;0.796220017446324
